href,disease_type,keyword
https://bookinghealth.ru/clinics/treatment/gynecology/germany,Гинекология ,Цистоцеле и ректоцеле
https://bookinghealth.ru/clinics/treatment/gynecology/germany,Гинекология ,Эндометриоз
https://bookinghealth.ru/clinics/treatment/gynecology/germany,Гинекология ,"Эндометриоидная
                        киста яичника"
https://bookinghealth.ru/clinics/treatment/dermatology/germany,Дерматология ,Акне
https://bookinghealth.ru/clinics/treatment/dermatology/germany,Дерматология ,Базалиома
https://bookinghealth.ru/clinics/treatment/dermatology/germany,Дерматология ,Витилиго
https://bookinghealth.ru/clinics/treatment/dermatology/germany,Дерматология ,Контактный дерматит
https://bookinghealth.ru/clinics/treatment/dermatology/germany,Дерматология ,Липоматоз кожных отделов
https://bookinghealth.ru/clinics/treatment/dermatology/germany,Дерматология ,Меланома
https://bookinghealth.ru/clinics/treatment/dermatology/germany,Дерматология ,Нейродермит
https://bookinghealth.ru/clinics/treatment/dermatology/germany,Дерматология ,Опоясывающий лишай
https://bookinghealth.ru/clinics/treatment/dermatology/germany,Дерматология ,Псориаз
https://bookinghealth.ru/clinics/treatment/dermatology/germany,Дерматология ,Рак кожи
https://bookinghealth.ru/clinics/treatment/infectiology/germany,Инфекционные болезни ,СПИД (ВИЧ инфекция)
https://bookinghealth.ru/clinics/treatment/cardiology/germany,Кардиология ,"Атриовентрикулярная
                        блокада"
https://bookinghealth.ru/clinics/treatment/cardiology/germany,Кардиология ,"Атриовентрикулярная
                        узловая тахикардия"
https://bookinghealth.ru/clinics/treatment/cardiology/germany,Кардиология ,"Блокада левой ножки пучка
                        Гиса (БЛНПГ)"
https://bookinghealth.ru/clinics/treatment/cardiology/germany,Кардиология ,Брадикардия
https://bookinghealth.ru/clinics/treatment/cardiology/germany,Кардиология ,"Врожденные и
                        приобретенные пороки сердца"
https://bookinghealth.ru/clinics/treatment/cardiology/germany,Кардиология ,"Дефект межжелудочковой
                        перегородки"
https://bookinghealth.ru/clinics/treatment/cardiology/germany,Кардиология ,"Дефект межпредсердной
                        перегородки"
https://bookinghealth.ru/clinics/treatment/cardiology/germany,Кардиология ,"Дилатационная и
                        ишемическая кардиомиопатия"
https://bookinghealth.ru/clinics/treatment/cardiology/germany,Кардиология ,"ИБС, стенокардия"
https://bookinghealth.ru/clinics/treatment/cardiology/germany,Кардиология ,Инфаркт миокарда
https://bookinghealth.ru/clinics/treatment/cardiology/germany,Кардиология ,Коарктация аорты
https://bookinghealth.ru/clinics/treatment/cardiology/germany,Кардиология ,Коронарная недостаточность
https://bookinghealth.ru/clinics/treatment/cardiology/germany,Кардиология ,"Мерцание (трепетание)
                        предсердий"
https://bookinghealth.ru/clinics/treatment/cardiology/germany,Кардиология ,Миокардит
https://bookinghealth.ru/clinics/treatment/cardiology/germany,Кардиология ,Перикардит
https://bookinghealth.ru/clinics/treatment/cardiology/germany,Кардиология ,Пульмональная гипертония
https://bookinghealth.ru/clinics/treatment/cardiology/germany,Кардиология ,"Пульмональная
                        гипертония с острой сердечной недостаточностью"
https://bookinghealth.ru/clinics/treatment/cardiology/germany,Кардиология ,Сердечная недостаточность
https://bookinghealth.ru/clinics/treatment/cardiology/germany,Кардиология ,"Синдром
                        Вольфа-Паркинсона-Уайта (синдром преждевременного возбуждения желудочков)"
https://bookinghealth.ru/clinics/treatment/cardiology/germany,Кардиология ,"Синдром
                        Морганьи-Адам-Стокса (МАС) при брадиаритмии"
https://bookinghealth.ru/clinics/treatment/cardiology/germany,Кардиология ,Синдром каротидного синуса
https://bookinghealth.ru/clinics/treatment/cardiology/germany,Кардиология ,"Синдром слабости синусового узла
                        (СССУ)"
https://bookinghealth.ru/clinics/treatment/cardiology/germany,Кардиология ,Синдром удлиненного интервала qt
https://bookinghealth.ru/clinics/treatment/cardiology/germany,Кардиология ,Стеноз аортального клапана
https://bookinghealth.ru/clinics/treatment/cardiology/germany,Кардиология ,"Стеноз клапана лёгочной
                        артерии"
https://bookinghealth.ru/clinics/treatment/cardiology/germany,Кардиология ,Стеноз митрального клапана
https://bookinghealth.ru/clinics/treatment/cardiology/germany,Кардиология ,Трепетание желудочков
https://bookinghealth.ru/clinics/treatment/cardiology/germany,Кардиология ,Эндокардит
https://bookinghealth.ru/clinics/treatment/cardiology/germany,Кардиология ,Эссециальная гипертония
https://bookinghealth.ru/clinics/treatment/cardiosurgery/germany,Кардиохирургия ,Аневризма левого желудочка
https://bookinghealth.ru/clinics/treatment/cardiosurgery/germany,Кардиохирургия ,"Аномальный
                        дренаж легочных вен (полный)"
https://bookinghealth.ru/clinics/treatment/cardiosurgery/germany,Кардиохирургия ,"Врожденные и
                        приобретенные пороки сердца"
https://bookinghealth.ru/clinics/treatment/cardiosurgery/germany,Кардиохирургия ,"Дефект межжелудочковой
                        перегородки"
https://bookinghealth.ru/clinics/treatment/cardiosurgery/germany,Кардиохирургия ,"Дефект межпредсердной
                        перегородки"
https://bookinghealth.ru/clinics/treatment/cardiosurgery/germany,Кардиохирургия ,"Дефект
                        межпредсердной перегородки после инфаркта миокарда"
https://bookinghealth.ru/clinics/treatment/cardiosurgery/germany,Кардиохирургия ,"ИБС, стенокардия"
https://bookinghealth.ru/clinics/treatment/cardiosurgery/germany,Кардиохирургия ,Инфаркт миокарда
https://bookinghealth.ru/clinics/treatment/cardiosurgery/germany,Кардиохирургия ,Коарктация аорты
https://bookinghealth.ru/clinics/treatment/cardiosurgery/germany,Кардиохирургия ,"Мерцание (трепетание)
                        предсердий"
https://bookinghealth.ru/clinics/treatment/cardiosurgery/germany,Кардиохирургия ,"Недостаточность
                        аортального клапана"
https://bookinghealth.ru/clinics/treatment/cardiosurgery/germany,Кардиохирургия ,"Недостаточность клапана
                        лёгочной артерии"
https://bookinghealth.ru/clinics/treatment/cardiosurgery/germany,Кардиохирургия ,"Недостаточность
                        митрального клапана"
https://bookinghealth.ru/clinics/treatment/cardiosurgery/germany,Кардиохирургия ,"Недостаточность трехстворчатого
                        (трикуспидального) клапана"
https://bookinghealth.ru/clinics/treatment/cardiosurgery/germany,Кардиохирургия ,"Порок
                        антриовентрикулярного клапана"
https://bookinghealth.ru/clinics/treatment/cardiosurgery/germany,Кардиохирургия ,"Синдром
                        Вольфа-Паркинсона-Уайта (синдром преждевременного возбуждения желудочков)"
https://bookinghealth.ru/clinics/treatment/cardiosurgery/germany,Кардиохирургия ,Стеноз аортального клапана
https://bookinghealth.ru/clinics/treatment/cardiosurgery/germany,Кардиохирургия ,"Стеноз клапана лёгочной
                        артерии"
https://bookinghealth.ru/clinics/treatment/cardiosurgery/germany,Кардиохирургия ,Стеноз митрального клапана
